"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000025915";934,971221850332;1,46373199715834;0,361679958469441;4,04703651082181;5,18701531865121e-05;0,00266663903653351
"ENSMUSG00000026072";154,21806100969;1,17320142860888;0,365817945243585;3,20706363332638;0,00134097330196889;0,0211017540183178
"ENSMUSG00000006542";28,8954936391336;-1,63625062026008;0,37898001315598;-4,31751164562506;1,57798085476621e-05;0,00127176727267915
"ENSMUSG00000026380";34,3254510120401;1,41125751819051;0,435689182821871;3,23913829820167;0,00119891424588971;0,0195214591312403
"ENSMUSG00000052688";90,3361669576182;-1,44372589370935;0,338258273767401;-4,26811701493549;1,97129919196266e-05;0,00149451208231339
"ENSMUSG00000045968";37,200338019974;1,40606221109163;0,463624088671959;3,03276349406103;0,00242325437222393;0,0298190283547665
"ENSMUSG00000026697";709,030122121127;-1,60631600403845;0,512870997019568;-3,13200787990193;0,0017361521549407;0,0244399955595587
"ENSMUSG00000039997";37,2403790298338;-1,22393280474813;0,385160337307533;-3,17772284992803;0,00148436567689697;0,0222988138387104
"ENSMUSG00000047369";132,121281598783;1,50118982184439;0,175427833519483;8,55730696621564;1,15534605014756e-17;1,32990184534787e-13
"ENSMUSG00000019970";6256,74639161818;1,7592345523436;0,225426103933621;7,80404097682328;5,99557107912825e-15;3,57575859159209e-11
"ENSMUSG00000037370";456,575243015339;-1,47745917616986;0,173244224059209;-8,52818721197258;1,48658824653238e-17;1,32990184534787e-13
"ENSMUSG00000020108";1987,37818469259;1,38918909999198;0,307561310849114;4,51678755093323;6,27848394530374e-06;0,000687700248722399
"ENSMUSG00000000731";94,6011249749135;3,79338489768992;0,833667073349906;4,55023956079619;5,35848736454222e-06;0,000617865671928533
"ENSMUSG00000000732";466,147151734118;1,00992976794508;0,29856308318616;3,38263444082726;0,000717941279590932;0,0135404460296226
"ENSMUSG00000025401";21,9524431213561;-1,23285953903262;0,365339919781338;-3,37455468805738;0,000739352239035019;0,0138283070478598
"ENSMUSG00000034579";606,97404386109;1,2949372630508;0,2439410554743;5,30840231273505;1,10590329478027e-07;2,97095426120202e-05
"ENSMUSG00000020424";231,992397083095;1,00730945017119;0,23253435475143;4,33187367624867;1,47845764207406e-05;0,00121896734681786
"ENSMUSG00000020182";608,885314258718;1,38121563349991;0,183003130348468;7,54749730712172;4,43701714401473e-14;1,58774221481423e-10
"ENSMUSG00000020286";33,7459255503448;2,22015967856238;0,53843321490139;4,1233705817517;3,73368277786363e-05;0,00216893026823169
"ENSMUSG00000018339";999,055256041675;1,49192832040094;0,490712144329395;3,04033298878266;0,00236316714710626;0,0295380372280047
"ENSMUSG00000043448";1169,31103245428;-1,20578738274258;0,343896050989644;-3,50625539104806;0,000454458935599542;0,0104379708289435
"ENSMUSG00000020893";1882,91278458622;1,0455433389168;0,215259247269402;4,85713553391871;1,19096077945527e-06;0,000231615981152323
"ENSMUSG00000000093";78,0267044496885;1,34166470480482;0,429319556080734;3,12509571437393;0,00177747213766158;0,0248457277242508
"ENSMUSG00000070337";108,460148276918;1,09476702490424;0,393870130922352;2,77951268439816;0,00544405273333096;0,0481012303727197
