"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000025915";934,971221850332;1,46373199715834;0,361679958469441;4,04703651082181;5,18701531865121e-05;0,00266663903653351
"ENSMUSG00000103804";13,078053834887;1,08271753912594;0,367274032826797;2,94798282032789;0,00319854839484361;0,0350879386146792
"ENSMUSG00000100671";17,1990013516518;-1,85022736882488;0,602182050663462;-3,072538224589;0,0021224664814098;0,0277463753487687
"ENSMUSG00000099839";32,7937395473774;1,18857380111754;0,336828112173297;3,52872506231317;0,000417566709105908;0,00993342431664063
"ENSMUSG00000100627";18,8168448610741;1,1419673543852;0,389720666475014;2,9302201618256;0,00338721924587388;0,0364835260259375
"ENSMUSG00000045968";37,200338019974;1,40606221109163;0,463624088671959;3,03276349406103;0,00242325437222393;0,0298190283547665
"ENSMUSG00000047369";132,121281598783;1,50118982184439;0,175427833519483;8,55730696621564;1,15534605014756e-17;1,32990184534787e-13
"ENSMUSG00000103174";39,3676096875702;-1,7153905581689;0,262039858339785;-6,54629631170296;5,89814999876423e-11;7,53783569842069e-08
"ENSMUSG00000097378";13,2491307958218;1,7701506375181;0,532176609020171;3,32624660218955;0,000880240144948383;0,015908340074158
"ENSMUSG00000019970";6256,74639161818;1,7592345523436;0,225426103933621;7,80404097682328;5,99557107912825e-15;3,57575859159209e-11
"ENSMUSG00000037370";456,575243015339;-1,47745917616986;0,173244224059209;-8,52818721197258;1,48658824653238e-17;1,32990184534787e-13
"ENSMUSG00000112352";16,4005262096214;1,36986108779123;0,496058795020287;2,76148936687074;0,00575383901620081;0,0499261336944059
"ENSMUSG00000085156";86,9776183631282;1,01993657047094;0,268649943561794;3,79652627857834;0,000146737814229911;0,00522674322507654
"ENSMUSG00000087050";26,7499187750231;1,13169214757037;0,400297717617074;2,82712615577027;0,0046967820534296;0,0442311766098555
"ENSMUSG00000087373";38,7916581094283;1,29665661883857;0,371294902758211;3,49225537222891;0,000478960092019998;0,0108004666430904
"ENSMUSG00000086015";17,5911101443068;1,63879131073583;0,395321670590837;4,14546287909423;3,39127939547889e-05;0,00204298892067032
"ENSMUSG00000047798";30,8952607743637;2,38608403249738;0,635293513700018;3,75587658466803;0,000172735805866935;0,00570219379810185
"ENSMUSG00000056032";20,2433990081263;2,31073004380197;0,647325969850262;3,56965447305704;0,000357452389514836;0,00909605408573603
"ENSMUSG00000085511";18,2203460228148;2,77477881999758;0,741912566875421;3,74003480178751;0,000183994778164412;0,00592092548726198
"ENSMUSG00000037336";99,6385089322313;1,19234198924197;0,376122661586803;3,17008814148997;0,00152392702825766;0,0226462644431778
"ENSMUSG00000116635";28,4420720913365;1,12096429854062;0,377733551405178;2,96760585436639;0,00300128918456785;0,0337942517874688
"ENSMUSG00000112112";64,1196086231906;-1,50436230679013;0,324420915469112;-4,63706942141763;3,5338374936158e-06;0,000468351262487214
"ENSMUSG00000112830";13,0681097351327;1,75675640614687;0,537438848783423;3,26875589683098;0,00108021449412029;0,0183022705765153
"ENSMUSG00000113622";15,362035447709;-2,12562019064698;0,727555671919859;-2,92159112035775;0,00348248390491694;0,0371769701830393
"ENSMUSG00000113918";18,7162834879202;2,9868185029872;0,972194205893872;3,07224470674664;0,00212455478581563;0,0277463753487687
"ENSMUSG00000097476";14,7027065026977;2,16763146527952;0,612694227005977;3,53786827055965;0,000403371243398218;0,00975286254983909
"ENSMUSG00000085603";17,199210478849;1,54356433595937;0,467066893484181;3,30480356773918;0,000950429869289889;0,0167295176186705
"ENSMUSG00000033102";483,899135637867;1,06056036148817;0,282785999100115;3,75039911757688;0,000176553326660325;0,00576650143209928
"ENSMUSG00000100891";100,39831002255;1,08938291194321;0,226972320723679;4,79962890836124;1,58959893381307e-06;0,000276056545377539
"ENSMUSG00000097848";13,587049816279;1,82726509747931;0,524779163437306;3,4819696070071;0,000497740182382611;0,0110217417613734
"ENSMUSG00000114709";19,3901249905555;1,38095784269903;0,486542454938626;2,83830902870178;0,00453532495646616;0,0435800398072462
"ENSMUSG00000115756";84,1621498375741;-1,04490902533527;0,337143866435892;-3,09929715281937;0,00193980358156748;0,0262533779738316
"ENSMUSG00000103047";31,6197571833547;1,42460373931063;0,308533264451664;4,6173424503918;3,88685566636737e-06;0,000482941816546146
"ENSMUSG00000075555";68,3067015411181;-1,3252864488116;0,329110040815276;-4,02687941555529;5,65220005790193e-05;0,00282483696748551
"ENSMUSG00000087543";52,9357678022943;-1,12692045878241;0,269184042670708;-4,1864311405746;2,83374849376369e-05;0,00188481145168847
"ENSMUSG00000116305";185,76317482976;1,59729316382994;0,242789923730902;6,57891043946416;4,73908102883073e-11;6,52243367444919e-08
"ENSMUSG00000090257";31,4548336343884;-1,73407353850968;0,576962790192746;-3,0055205777315;0,00265126655909008;0,0314983142597873
"ENSMUSG00000086645";45,855360829304;1,50433611268473;0,420077858725112;3,58108879446829;0,00034216533379165;0,00888537322525428
"ENSMUSG00000022639";250,773869882011;-1,3342463474496;0,246301436096672;-5,41712776260839;6,05640645344109e-08;1,93502186187443e-05
"ENSMUSG00000087478";123,833773576364;-1,50680389539327;0,310963832879315;-4,84559211095801;1,26234627374376e-06;0,000238112346549389
"ENSMUSG00000089633";43,7381626196551;-1,29767856211347;0,344559567943155;-3,76619511644953;0,000165754273783892;0,00557457794462668
"ENSMUSG00000043747";19,5502915212875;1,89058830375059;0,654809603480158;2,88723362287688;0,00388645537072889;0,0394909232125285
"ENSMUSG00000024222";1226,96776101702;1,4221537854403;0,226821499997584;6,26992496502951;3,61222133079729e-10;4,23891539926068e-07
"ENSMUSG00000117255";35,3692194841013;2,17108764807604;0,384369120729899;5,64844450551399;1,61906098373401e-08;7,1184574962189e-06
"ENSMUSG00000057246";116,90419801958;1,17307031140815;0,191773789323225;6,11694807485397;9,53844291918316e-10;8,53309103550125e-07
"ENSMUSG00000002769";53,5226442140214;1,08393411573288;0,31730231337395;3,41609269786644;0,000635266179264536;0,0125178221138778
"ENSMUSG00000117628";49,4166282856714;1,42276159555844;0,312099243862157;4,55868325072529;5,1475338255808e-06;0,000598049839008387
"ENSMUSG00000085287";39,2608779886552;1,14236096770078;0,409710037190217;2,78821816408275;0,00529988397207319;0,0473890674804265
"ENSMUSG00000118154";135,492497580405;-1,02000493326711;0,368539138256453;-2,76769772158454;0,0056453789792764;0,0493804736214003
"ENSMUSG00000114210";52,6264832720869;1,00669469086619;0,333145286466949;3,02178878633501;0,00251285817959607;0,0304607442746157
"ENSMUSG00000024658";25,2967075119461;1,09372996790861;0,297002926782265;3,68255619484327;0,000230906946632491;0,00685138820754317
"ENSMUSG00000100075";38,4739974267885;1,15388725595987;0,41436536111805;2,78470973743179;0,00535756592847439;0,0477378334622827
"ENSMUSG00000026669";95,0630659378715;1,24819019273993;0,389534357059867;3,20431348382473;0,0013538497840992;0,0211931370206406
"ENSMUSG00000100747";20,0417132752739;1,45127819392838;0,524908786810126;2,76481977516095;0,0056954253246218;0,0496843246748577
"ENSMUSG00000079484";804,862285498638;1,21370073727995;0,214532375003969;5,65742460669393;1,53661280129728e-08;7,1184574962189e-06
"ENSMUSG00000026822";219,55384400513;2,46262100365066;0,839617484333909;2,93302730064551;0,00335674373862047;0,0362789571385676
"ENSMUSG00000104277";74,3474717214787;1,32484217574082;0,335317346569483;3,95100995905766;7,7822085571366e-05;0,00347230113477028
"ENSMUSG00000087278";31,9885241551933;-1,75634806537792;0,628984887958911;-2,79235336015363;0,00523261788595323;0,046998995590098
"ENSMUSG00000027360";61,2122381761554;1,21766489019888;0,334699400775235;3,63808506193471;0,000274672715291474;0,00771074757949954
"ENSMUSG00000017697";84,5446760063086;1,52806201545737;0,322500207295924;4,73817374652176;2,15652878689519e-06;0,000341456752700254
"ENSMUSG00000027525";2620,99851429189;1,00024540665259;0,22804237428629;4,38622606777835;1,15334252833994e-05;0,00103178022585291
"ENSMUSG00000086166";16,1441748374127;2,33280237952829;0,618682526568441;3,77059683981592;0,000162857589890388;0,00556411433790535
"ENSMUSG00000103502";22,8601826320245;1,12168586032416;0,352571387426746;3,18144324901353;0,00146543230754453;0,0221277522435496
"ENSMUSG00000074580";45,40887518412;1,01374353675704;0,365187052935568;2,77595694756436;0,00550394961345079;0,0485585140452966
"ENSMUSG00000028141";10,4809642915412;2,29216689538953;0,74899735830714;3,06031372469752;0,00221105251795895;0,0284400802669457
"ENSMUSG00000093577";100,949613791324;1,32767888346638;0,401907354655431;3,3034451051652;0,000955046658436283;0,0167555647509107
"ENSMUSG00000105572";110,966705914944;1,18768180875954;0,329433773219214;3,60522176325018;0,000311886484929553;0,0083913879524204
"ENSMUSG00000028017";98,8749610166114;1,13708216326382;0,262762647097676;4,32741173763995;1,50871771702945e-05;0,00122683720700694
"ENSMUSG00000028012";17,514187850826;2,47793569588731;0,526008761750111;4,71082589507224;2,4671493765266e-06;0,000361821611842737
"ENSMUSG00000019232";3691,03096444669;1,15203642574389;0,194939915184157;5,90970004606587;3,4273123486436e-09;2,45285890167725e-06
