lncRNA.id targetRNA.id r.value p.value
2660 ENSMUSG00000112112 ENSMUSG00000052688 0.940262134574341 5.41702442080627e-06
2665 ENSMUSG00000120232 ENSMUSG00000052688 0.901703138978905 6.1155796001966e-05
2671 ENSMUSG00000085603 ENSMUSG00000052688 -0.917248416142651 2.65627439310911e-05
2696 ENSMUSG00000090257 ENSMUSG00000052688 0.92422367338369 1.73087017238949e-05
2847 ENSMUSG00000098708 ENSMUSG00000052688 -0.929467232568631 1.22026784272755e-05
3227 ENSMUSG00000087373 ENSMUSG00000045968 0.918437537460936 2.47589036093121e-05
3246 ENSMUSG00000113918 ENSMUSG00000045968 0.905691305384946 5.00603790212217e-05
3247 ENSMUSG00000097476 ENSMUSG00000045968 0.909635849282905 4.07075577482097e-05
3299 ENSMUSG00000117628 ENSMUSG00000045968 0.91452249761112 3.10894024133646e-05
3308 ENSMUSG00000100075 ENSMUSG00000045968 0.904173442126692 5.40785665967825e-05
3314 ENSMUSG00000120226 ENSMUSG00000045968 0.916002529776771 2.85621662148294e-05
3328 ENSMUSG00000121236 ENSMUSG00000045968 0.97307843669642 1.06454724591032e-07
3342 ENSMUSG00000093577 ENSMUSG00000045968 0.979220714410681 2.94647846121876e-08
3395 ENSMUSG00000120456 ENSMUSG00000045968 0.902931444651999 5.75513431146923e-05
3408 ENSMUSG00000107605 ENSMUSG00000045968 0.972429683462584 1.19783727603462e-07
3457 ENSMUSG00000110588 ENSMUSG00000045968 0.904319048518693 5.36824736196984e-05
3462 ENSMUSG00000098120 ENSMUSG00000045968 0.917030849655852 2.69036983349125e-05
3470 ENSMUSG00000097574 ENSMUSG00000045968 0.910251681872576 3.93810505576742e-05
3568 ENSMUSG00000022639 ENSMUSG00000026697 0.913742307181526 3.24906735307273e-05
4646 ENSMUSG00000099839 ENSMUSG00000047369 0.93225627880163 1.00211826441488e-05
4690 ENSMUSG00000112112 ENSMUSG00000047369 -0.951196146865843 2.00846266817933e-06
4705 ENSMUSG00000100891 ENSMUSG00000047369 0.932286490777419 9.99937337953227e-06
4720 ENSMUSG00000116305 ENSMUSG00000047369 0.962825349609415 5.25272922047293e-07
4737 ENSMUSG00000117255 ENSMUSG00000047369 0.945300490329051 3.51687848176852e-06
4757 ENSMUSG00000024658 ENSMUSG00000047369 0.912380077137965 3.50561507775904e-05
4780 ENSMUSG00000086166 ENSMUSG00000047369 0.94057747728394 5.27838733566099e-06
4782 ENSMUSG00000103502 ENSMUSG00000047369 0.902412047700308 5.90545423313493e-05
4877 ENSMUSG00000098708 ENSMUSG00000047369 0.906094842621333 4.90326747693004e-05
4895 ENSMUSG00000092536 ENSMUSG00000047369 0.926969243529653 1.44600834302011e-05
4915 ENSMUSG00000111097 ENSMUSG00000047369 0.927263274447895 1.41784714968729e-05
4924 ENSMUSG00000111360 ENSMUSG00000047369 0.932821288985174 9.61948412636637e-06
4925 ENSMUSG00000111498 ENSMUSG00000047369 0.900718377415451 6.41716476907916e-05
5560 ENSMUSG00000112112 ENSMUSG00000019970 -0.92490211056523 1.65668885632186e-05
5590 ENSMUSG00000116305 ENSMUSG00000019970 0.908454050980013 4.33514753295228e-05
5650 ENSMUSG00000086166 ENSMUSG00000019970 0.927080318991988 1.43531853298295e-05
5785 ENSMUSG00000111097 ENSMUSG00000019970 0.907379891635622 4.58700299492687e-05
5879 ENSMUSG00000087543 ENSMUSG00000037370 0.925779960548198 1.56445160202079e-05
5888 ENSMUSG00000022639 ENSMUSG00000037370 0.908803430954233 4.25561851060685e-05
6409 ENSMUSG00000085156 ENSMUSG00000020108 0.903791177184581 5.51293778086048e-05
6415 ENSMUSG00000087050 ENSMUSG00000020108 0.916863199194228 2.71687724702208e-05
6417 ENSMUSG00000087373 ENSMUSG00000020108 0.941577694615366 4.85713121278764e-06
6426 ENSMUSG00000085511 ENSMUSG00000020108 0.934122064276884 8.74297604758212e-06
6428 ENSMUSG00000120669 ENSMUSG00000020108 0.933493945316456 9.15796408840208e-06
6436 ENSMUSG00000113918 ENSMUSG00000020108 0.938895500419295 6.05153873856068e-06
6437 ENSMUSG00000097476 ENSMUSG00000020108 0.947397691151932 2.90277796866079e-06
6441 ENSMUSG00000085603 ENSMUSG00000020108 0.911330458640904 3.71395122411577e-05
6445 ENSMUSG00000100891 ENSMUSG00000020108 0.948887064517833 2.52083032226125e-06
6448 ENSMUSG00000114709 ENSMUSG00000020108 0.942652231430196 4.4347001721956e-06
