name	kmerScore_1mer	kmerScore_2mer	kmerScore_3mer	kmerScore_6mer	kmerScore_9mer	kmerScore_12mer	ORF_cover	RNA_size	coding_potential	label
ENSMUST00000008011	0.500207	0.499119	0.497515	0.498215	0.500866	0.520932	0.374634146341463	1025	0	0
ENSMUST00000013706	0.501816	0.502864	0.496101	0.499373	0.484124	0.505666	0.340659340659341	1092	0	0
ENSMUST00000015595	0.501678	0.504147	0.529845	0.566765	0.600153	0.575684	0.563233376792699	5369	0.092	0
ENSMUST00000020222	0.499418	0.497603	0.500363	0.498391	0.491316	0.51534	0.237068965517241	2088	0	0
ENSMUST00000021378	0.503094	0.506854	0.507246	0.505884	0.490554	0.506758	0.171336206896552	1856	0	0
ENSMUST00000021520	0.502948	0.50665	0.501742	0.502791	0.517664	0.543668	0.626582278481013	632	0.022	0
ENSMUST00000022049	0.501469	0.503381	0.507723	0.520276	0.549487	0.591997	0.280026109660574	1532	0.008	0
ENSMUST00000022427	0.501163	0.503173	0.485331	0.471841	0.452255	0.251874	0.510567296996663	899	0.002	0
ENSMUST00000022711	0.499106	0.498604	0.489064	0.477307	0.462876	0.457971	0.549579831932773	595	0.004	0
ENSMUST00000023469	0.500505	0.501006	0.518173	0.531917	0.537355	0.543895	0.998865570051049	1763	0.994	1
ENSMUST00000024796	0.495001	0.487538	0.487504	0.471536	0.44877	0.429854	0.146752205292702	2494	0	0
ENSMUST00000025428	0.500796	0.502533	0.504749	0.511125	0.506266	0.48409	1	363	0.286	0
ENSMUST00000028061	0.502408	0.505176	0.505065	0.50684	0.513561	0.521946	0.498795180722892	830	0	0
ENSMUST00000029642	0.497159	0.493642	0.49651	0.49602	0.504842	0.476033	0.194189602446483	1962	0.002	0
ENSMUST00000029827	0.504131	0.51117	0.494603	0.497499	0.479166	0.477038	0.44	450	0.028	0
ENSMUST00000030352	0.503559	0.508828	0.507519	0.513394	0.531223	0.548871	0.578635014836795	674	0.022	0
ENSMUST00000030910	0.498797	0.496098	0.485972	0.472196	0.460123	0.462789	0.476377952755905	762	0.008	0
ENSMUST00000030975	0.500503	0.50209	0.497077	0.500884	0.509534	0.566103	0.75	412	0.078	0
ENSMUST00000031274	0.499437	0.49856	0.488964	0.47516	0.46029	0.490113	0.514192139737991	916	0.008	0
ENSMUST00000031305	0.50706	0.514044	0.501667	0.502505	0.50095	0.514243	0.168774966711052	3004	0	0
ENSMUST00000031356	0.499143	0.498352	0.494831	0.499145	0.508967	0.515293	0.506717850287908	521	0.002	0
ENSMUST00000031488	0.501706	0.502713	0.513987	0.532818	0.56108	0.555562	1	2574	1	1
ENSMUST00000031863	0.496751	0.49133	0.489892	0.47402	0.473742	0.535115	0.522026431718062	908	0.01	0
ENSMUST00000032517	0.498197	0.496199	0.504801	0.515371	0.55387	0.708721	0.838834951456311	515	0.706	1
ENSMUST00000032858	0.501259	0.504451	0.509782	0.532114	0.564697	0.576121	0.2989449003517	853	0.016	0
ENSMUST00000032872	0.499777	0.49983	0.499303	0.503911	0.504264	0.473764	1	330	0.358	0
ENSMUST00000032900	0.508114	0.519502	0.510047	0.502289	0.476028	0.532283	0.75	420	0.032	0
