"RNA_Name";"Pro_Name";"label";"RPISeq_retrain_pred";"RPISeq_retrain_prob";"rpiCOOL_retrain_pred";"rpiCOOL_retrain_prob";"LION_pred";"LION_prob"
"ENSMUST00000185465";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.136666666666667";"Non.Interact";"0.12";"Non.Interact";"0.212"
"ENSMUST00000190485";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.151333333333333";"Non.Interact";"0.244";"Non.Interact";"0.35"
"ENSMUST00000245729";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.163333333333333";"Non.Interact";"0.136";"Non.Interact";"0.213"
"ENSMUST00000245448";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.148";"Non.Interact";"0.118";"Non.Interact";"0.207"
"ENSMUST00000244115";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.150333333333333";"Non.Interact";"0.124";"Non.Interact";"0.199"
"ENSMUST00000246704";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.164";"Non.Interact";"0.14";"Non.Interact";"0.308"
"ENSMUST00000241523";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.134";"Non.Interact";"0.182";"Non.Interact";"0.385"
"ENSMUST00000246803";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.128666666666667";"Non.Interact";"0.17";"Non.Interact";"0.33"
"ENSMUST00000181073";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.456666666666667";"Non.Interact";"0.496";"Non.Interact";"0.31"
"ENSMUST00000180529";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.479333333333333";"Interact";"0.556";"Non.Interact";"0.34"
"ENSMUST00000156293";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.140333333333333";"Non.Interact";"0.212";"Non.Interact";"0.313"
"ENSMUST00000132056";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.127";"Non.Interact";"0.116";"Non.Interact";"0.37"
"ENSMUST00000145570";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.131333333333333";"Non.Interact";"0.104";"Non.Interact";"0.364"
"ENSMUST00000147508";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.144333333333333";"Non.Interact";"0.132";"Non.Interact";"0.409"
"ENSMUST00000181436";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.207333333333333";"Non.Interact";"0.206";"Non.Interact";"0.337"
"ENSMUST00000181742";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.154";"Non.Interact";"0.19";"Non.Interact";"0.342"
"ENSMUST00000224929";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.173666666666667";"Non.Interact";"0.134";"Non.Interact";"0.223"
"ENSMUST00000137629";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.139333333333333";"Non.Interact";"0.156";"Non.Interact";"0.367"
"ENSMUST00000181193";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.145";"Non.Interact";"0.186";"Non.Interact";"0.374"
"ENSMUST00000210835";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.165333333333333";"Non.Interact";"0.234";"Non.Interact";"0.338"
"ENSMUST00000214060";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.138666666666667";"Non.Interact";"0.19";"Non.Interact";"0.347"
"ENSMUST00000183878";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.134666666666667";"Non.Interact";"0.19";"Non.Interact";"0.374"
"ENSMUST00000181682";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.320333333333333";"Non.Interact";"0.254";"Non.Interact";"0.443"
"ENSMUST00000181107";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.190333333333333";"Non.Interact";"0.26";"Non.Interact";"0.332"
"ENSMUST00000215759";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.306333333333333";"Non.Interact";"0.28";"Interact";"0.504"
"ENSMUST00000181719";"ENSMUSP00000128196";"Interact";"Non.Interact";"0.250333333333333";"Non.Interact";"0.24";"Non.Interact";"0.402"
"ENSMUST00000185465";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.136";"Non.Interact";"0.12";"Non.Interact";"0.095"
"ENSMUST00000190485";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.149333333333333";"Non.Interact";"0.25";"Non.Interact";"0.274"
"ENSMUST00000245729";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.162";"Non.Interact";"0.14";"Non.Interact";"0.104"
"ENSMUST00000245448";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.146333333333333";"Non.Interact";"0.136";"Non.Interact";"0.092"
"ENSMUST00000244115";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.148";"Non.Interact";"0.132";"Non.Interact";"0.094"
"ENSMUST00000246704";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.160333333333333";"Non.Interact";"0.146";"Non.Interact";"0.202"
"ENSMUST00000241523";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.134333333333333";"Non.Interact";"0.17";"Non.Interact";"0.298"
"ENSMUST00000246803";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.127";"Non.Interact";"0.168";"Non.Interact";"0.205"
"ENSMUST00000181073";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.443333333333333";"Non.Interact";"0.494";"Non.Interact";"0.204"
"ENSMUST00000180529";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.469";"Interact";"0.55";"Non.Interact";"0.238"
"ENSMUST00000156293";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.138";"Non.Interact";"0.226";"Non.Interact";"0.245"
"ENSMUST00000132056";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.122666666666667";"Non.Interact";"0.1";"Non.Interact";"0.255"
"ENSMUST00000145570";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.126666666666667";"Non.Interact";"0.092";"Non.Interact";"0.261"
"ENSMUST00000147508";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.141";"Non.Interact";"0.122";"Non.Interact";"0.302"
"ENSMUST00000181436";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.198";"Non.Interact";"0.192";"Non.Interact";"0.245"
"ENSMUST00000181742";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.149666666666667";"Non.Interact";"0.188";"Non.Interact";"0.24"
"ENSMUST00000224929";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.170333333333333";"Non.Interact";"0.126";"Non.Interact";"0.115"
"ENSMUST00000137629";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.134";"Non.Interact";"0.146";"Non.Interact";"0.251"
"ENSMUST00000181193";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.144333333333333";"Non.Interact";"0.202";"Non.Interact";"0.261"
"ENSMUST00000210835";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.162";"Non.Interact";"0.248";"Non.Interact";"0.281"
"ENSMUST00000214060";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.139";"Non.Interact";"0.198";"Non.Interact";"0.26"
"ENSMUST00000183878";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.132";"Non.Interact";"0.192";"Non.Interact";"0.268"
"ENSMUST00000181682";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.317333333333333";"Non.Interact";"0.24";"Non.Interact";"0.319"
"ENSMUST00000181107";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.183666666666667";"Non.Interact";"0.27";"Non.Interact";"0.256"
"ENSMUST00000215759";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.303333333333333";"Non.Interact";"0.28";"Non.Interact";"0.366"
"ENSMUST00000181719";"ENSMUSP00000073228";"Interact";"Non.Interact";"0.247333333333333";"Non.Interact";"0.24";"Non.Interact";"0.282"
"ENSMUST00000185465";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.14";"Non.Interact";"0.124";"Non.Interact";"0.118"
"ENSMUST00000190485";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.154";"Non.Interact";"0.246";"Non.Interact";"0.29"
"ENSMUST00000245729";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.165";"Non.Interact";"0.136";"Non.Interact";"0.133"
"ENSMUST00000245448";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.151";"Non.Interact";"0.138";"Non.Interact";"0.119"
"ENSMUST00000244115";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.152";"Non.Interact";"0.126";"Non.Interact";"0.118"
"ENSMUST00000246704";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.163666666666667";"Non.Interact";"0.142";"Non.Interact";"0.229"
"ENSMUST00000241523";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.136666666666667";"Non.Interact";"0.172";"Non.Interact";"0.315"
"ENSMUST00000246803";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.131333333333333";"Non.Interact";"0.172";"Non.Interact";"0.233"
"ENSMUST00000181073";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.448666666666667";"Non.Interact";"0.496";"Non.Interact";"0.228"
"ENSMUST00000180529";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.471666666666667";"Interact";"0.548";"Non.Interact";"0.261"
"ENSMUST00000156293";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.142666666666667";"Non.Interact";"0.22";"Non.Interact";"0.258"
"ENSMUST00000132056";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.125666666666667";"Non.Interact";"0.104";"Non.Interact";"0.273"
"ENSMUST00000145570";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.129";"Non.Interact";"0.094";"Non.Interact";"0.272"
"ENSMUST00000147508";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.145666666666667";"Non.Interact";"0.124";"Non.Interact";"0.322"
"ENSMUST00000181436";"ENSMUSP00000048364";"Interact";"Non.Interact";"0.202333333333333";"Non.Interact";"0.198";"Non.Interact";"0.259"
